汉语原文	人工翻译结果
这种沉积物是形成沙洲和海滩的必要条件，而沙洲和海滩是野生动物的栖息地。	འདམ་བསགས་དངོས་པོ་འདི་ནི་བྱེ་མའི་གླིང་དང་མཚོ་འགྲམ་གྲུབ་པའི་དགོས་ངེས་ཀྱི་ཆ་རྐྱེན་ཡིན་ལ། ཡང་བྱེ་གླིང་དང་མཚོ་འགྲམ་ནི་རི་སྐྱེས་སྲོག་ཆགས་ཀྱི་འཚོ་གནས་བྱེད་ས་ཡིན།
美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。	ཨ་རིའི་ལུས་སྦྱོང་མཐུན་ཚོགས་ཀྱིས་ཨ་རིའི་ཨོ་ལིམ་ཕིག་ཨུ་ལྷན་གྱི་འཕྲིན་ཡིག་ལ་རྒྱབ་སྐྱོར་བྱས་པ་དང་འབྲེལ་ཨོ་རྩལ་འགྲན་ཚོགས་ཀྱི་ཁྱིམ་ཚང་ཆེ་མོའི་བླང་བྱ་ནན་པོ་དང་ལེན་བྱས་པ་སྟེ།ལུས་རྩལ་པ་ཡོངས་ལ་བདེ་འཇགས་ཀྱི་སྦྱོང་བརྡར་ཁོར་ཡུག་ཅིག་བཏོད་ཡོད།
结果，两种鱼类灭绝，另外两种鱼类濒临灭绝，其中包括弓背鲑。	མཐར་ཉ་རིགས་གཉིས་རྩ་མེད་དུ་སོང་བ་དང་ཉ་རིགས་གཞན་གཉིས་རྩ་མེད་དུ་འགྲོ་ཉེར་ཡོད་པའི་ནང་ཚུན་དུ་ཉ་བཟུང་མཁན་ཚུད་ཡོད་པ་རེད།
虽然在洪水过后，水位只会上升几英尺，但官员们希望这足以恢复下游被侵蚀的沙洲。	ཆུ་ལོག་བྱུང་རྗེས་ཆུ་གནས་དབྱིན་ཁྲི་འགའ་ལས་འཕར་མི་ཐུབ་མོད།དཔོན་རིགས་རྣམས་ཀྱིས་འདི་ཡིས་སྨད་རྒྱུད་དུ་བསླད་སྐྱོན་ཐེབས་པའི་བྱེ་གླིང་སླར་གསོ་བྱེད་ཐུབ་པར་རེ་བ་བྱེད་བཞིན་ཡོད།
目前还没有发布海啸预警。根据雅加达地质局的说法，由于此次地震没有达到 6.5 级，因此不会发布海啸预警。	མིག་སྔར་ད་དུང་མཚོ་རླབས་ཀྱི་ཉེན་བརྡ་ཁྱབ་བསྒྲགས་བྱས་མེད། ཅ་ཁར་ཐ་ས་གཤིས་ཅུས་ཀྱི་བཤད་ཚུལ་ལྟར་ན། ད་ཐེངས་ཀྱི་ས་ཡོམ་ཚད་རིམ་6.5ལ་སླེབས་མེད་པས་མཚོ་ཡོམ་གྱི་ཉེན་བརྡ་གཏོང་མི་སྲིད།
尽管那里没有海啸的威胁，当地居民却感到坐立不安，纷纷结束生意及离开家园。	དེ་གར་མཚོ་ཡོམ་གྱི་འཇིགས་སྐུལ་མེད་ཀྱང་ས་གནས་དེ་གའི་ཡུལ་མིས་སྡོད་བཟོད་མི་བདེ་བའི་ཚོར་སྣང་བྱུང་ནས་འཚང་ཁ་ཤིག་ཤིག་ངང་ཚོང་མཇུག་འགྲིལ་བ་དང་ཁྱིམ་གཞིས་དང་ཁ་བྲལ་ཡོད།
尽管 Winfrey 在告别时热泪盈眶，但她向粉丝们明确表示，她还会回来。	Winfreyཞལ་གྱེས་རྗེས་མིག་ཆུ་འཁོར་མོད།འོན་ཀྱང་ཁོ་མོས་རྒྱབ་སྐྱོར་བྱེད་མཁན་རྣམས་ལ་ཁོ་མོ་ད་དུང་ཕྱིར་ལོག་ཡོང་ངེས་ཡིན་ཞེས་གསལ་པོ་བཤད་ཡོད།
“这并不是告别。这是一个篇章的结束，也是新篇章的开始。”	“འདི་ནི་གྱེས་ཕྱག་འབུལ་བ་ཁོ་ན་ཙམ་ཞིག་མིན་པར། ལེའུ་གསར་པ་མཇུག་འགྲིལ་བའམ་ཡང་ན་གསར་བྱུང་གི་ལེའུ་ཞིག་གི་འགོ་ཚུགས་པ་ཡིན།“
纳米比亚（Namibian）总统和议会选举的最后结果表明，现任总统希菲克普耶·波汉巴（Hifikepunye Pohamba）以巨大的优势再次当选。	ན་མའེ་པི་ཡའི་（Namibian）ཙུང་ཐུང་དང་གྲོས་ཚོགས་འདེམས་བསྐོའི་མཐའ་མའི་འབྲས་བུའི་ཐོག་ནས་ད་ལྟའི་ཙུང་ཐུང་ཤིས་ཧྥེ་ཁེ་ཕུ་ཡེ·པོ་ཧན་པ（HifikepunyePohamba）ཡི་ལེགས་ཆ་ཆེན་པོར་བརྟེན་ནས་སླར་ཡང་བདམས་ཐོན་བྱུང་བ་མཚོན་ཡོད།
执政党西南非洲人民组织 (SWAPO) 也在议会选举中保持了多数席位。	སྲིད་འཛིན་ཏང་ལྷོ་ནུབ་ཨ་ཧྥེ་རི་ཁའི་མི་དམངས་རྩ་འཛུགས(SWAPO)ཀྱིས་ཀྱང་གྲོས་ཚོགས་འདེམས་བསྐོའི་ཁྲོད་གདན་ཐོབ་མང་ཆེ་བ་རྒྱུན་འཁྱོངས་བྱས་ཡོད།
联军和阿富汗部队进入该地区保护阵地，其他联军飞机也被派往支援。	མཉམ་འབྲེལ་དམག་དང་ཨ་ཧྥུ་ཀ་ནི་སི་ཐན་གྱི་དཔུང་སྡེ་ས་ཁུལ་དེར་ཡོང་ནས་གཡུལ་སར་སྲུང་སྐྱོང་བྱས་པ་དང་འབྲེལ་མཉམ་འབྲེལ་དམག་གི་གནམ་གྲུ་གཞན་དག་ཀྱང་མངགས་གཏོང་གིས་རོགས་སྐྱོར་བྱས་པ་རེད།
坠机发生在高海拔山区，据称是敌方火力所致。	གནམ་གྲུ་ལྷུང་ཡུལ་ནི་ས་བབ་མཐོ་བའི་རི་ཁུལ་དུ་བྱུང་། གོ་ཐོས་སུ་དགྲ་བོའི་མེ་ཤུགས་ཀྱིས་བཟོས་པ་རེད་ཟེར།
我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。	ང་ཚོ་ཨ་རིའི་ཨོ་རྩལ་འགྲན་ཚོགས་ཀྱི་གསལ་བསྒྲགས་ལ་འཐད་པ་ཡིན། ལག་ཁྱེར་རྩིས་མེད་དུ་གཏོང་བ་ལས་ང་ཚོའི་རྩ་འཛུགས་ནང་ཁུལ་དུ་མུ་མཐུད་དུ་དོན་སྙིང་ལྡན་པའི་བཅོས་བསྒྱུར་ལ་སྐུལ་འདེད་བྱས་ན་བཟང་། ཕལ་ཆེར་ལུས་རྩལ་བ་དང་སྤྲོ་སྐྱིད་ཁང་གི་ཁེ་ཕན་དང་ལུས་རྩལ་ལ་སྲུང་སྐྱོབ་བྱེད་པར་ཕན་པ་ཡོད།
寻找坠机地点的任务遭遇了恶劣的天气和地形。	གནམ་གཤིས་དང་ས་དབྱིབས་ངན་པའི་འགྱུར་བག་གིས་གནམ་གྲུ་སར་ལྷུང་བའི་ལས་འགན་ལ་བར་ཆད་བཟོས།
医疗慈善机构 Mangola、无国界医生组织和世界卫生组织表示，这是该国有史以来最严重的疫情。	སྨན་བཅོས་དགེ་སྒྲུབ་སྒྲིག་གཞི་Mangolaདང་རྒྱལ་མཚམས་མེད་པའི་སྨན་པའི་རྩ་འཛུགས་དང་འཛམ་གླིང་འཕྲོད་བསྟེན་རྩ་འཛུགས་ཀྱིས་དེ་ནི་རྒྱལ་ཁབ་དེའི་ལོ་རྒྱུས་ཐོག་གི་རིམས་ནད་ཚབས་ཆེ་ཤོས་ཤིག་རེད་ཅེས་བཤད་པ་རེད།
无国界医生组织的发言人理查德·维尔曼 (Richard Veerman) 说：“安哥拉正面临有史以来最严重的疫情，当地的局势仍然非常糟糕。”	རྒྱལ་མཚམས་མེད་པའི་སྨན་པའི་རྩ་འཛུགས་ཀྱི་མགྲིན་ཚབ་པ་ལི་ཁྲ་ཏེ·ཝེ་མན(Richard Veerman)ཡིས། ཨན་ཀོ་ལར་ལོ་རྒྱུས་ཐོག་གི་རིམས་ནད་ཚབས་ཆེ་ཤོས་དེ་འཕྲད་བཞིན་ཡོད་པས་ས་གནས་དེ་གའི་དུས་བབ་སྔར་བཞིན་ཧ་ཅང་ཞན་པོ་རེད།“
比赛于上午 10 点开始。天气很好，上午有毛毛雨，很快就放晴了。这样的天气对七人制橄榄球来说十分完美。	ཆར་བ་ཟམ་ཟིམ་དེ་བབས་པའི་རྗེས་སུ་གནམ་གཤིས་དྭངས་པར་གྱུར་ཏེ། ཆུ་ཚོད10་སྟེང་ནས་སྐྱུ་རུ་རུའི་སྤོ་ལོའི་འགྲན་བསྡུར་འགོ་འཛུགས་པར་སྟབས་བདེ་ཡག་པོ་བསྐྲུན།
锦标赛头号种子南非队开局不错，他们以 26 - 00 轻松战胜了 5 号种子赞比亚队。	ལེགས་སྐྱེས་འགྲན་བསྡུར་གྱི་བདམས་ཐོན་པ་ཨང་དང་པོ་ཡིན་པའི་ལྷོ་ཨ་ཧྥེ་རི་ཁའི་རུ་ཁག་གི་འགོ་ཡག་པོ་བཙུགས་པ་དང་། ཁོང་ཚོས་26-00ཡི་བདམས་ཐོན་ཨང་5པའི་ཙན་པི་ཡའི་རུ་ཁག་ལས་རྣམ་པར་རྒྱལ་ཡོད།
在与南方姐妹队的比赛中，南非队看起来明显有点生疏，但随着比赛的进行，南非队的表现稳步改进。	ལྷོ་ཕྱོགས་ཀྱི་གཅེན་གཅུང་རུ་ཁག་དང་འགྲན་བསྡུར་བྱེད་སྐབས་ལྷོ་ཨ་ཧྥེ་རི་ཁའི་རུ་ཁག་ལ་རྒྱུས་མངའ་དེ་ཙམ་མེད་ཀྱང་འགྲན་བསྡུར་བྱས་པ་དང་བསྟུན་ནས་ལྷོ་ཨ་ཧྥེ་རི་ཁའི་རུ་ཁག་གི་མཚོན་ཚུལ་བརྟན་པོའི་ངང་ལེགས་སུ་ཕྱིན་ཡོད།
他们因其严格防守、控球技术和出色的团队合作脱颖而出。很显然，这是一支无往不胜的球队。	ཁོ་ཚོས་འགོག་སྲུང་དང་ཚོད་འཛིན་ནན་མོ་བྱེད་པའི་ལག་རྩལ་དང་ཕུལ་དུ་བྱུང་བའི་ཚོགས་པའི་མཉམ་ལས་ཀྱི་དབང་གིས་འབུར་དུ་ཐོན་པ་རེད།  འདི་ནི་འཐབ་ན་མི་རྒྱལ་བ་མེད་པའི་སྤོ་ལོའི་རུ་ཁག་ཅིག་ཡིན་པ་མངོན་གསལ་དོད་པོ་རེད།
阿姆斯特丹市政府和安妮·弗兰克博物馆 (Anne Frank Museum) 的官员表示，这棵树感染了一种真菌，并会对公众健康造成威胁，因为据称它随时都有倒下的危险。	ཨ་མུའུ་སི་ཐེ་ཏན་གྲོང་ཁྱེར་སྲིད་གཞུང་དང་ཨན་ཉི་·ཧྥོ་ལན་ཁེ་རྟེན་རྫས་བཤམས་མཛོད་ཁང་ (Anne Frank Museum)གི་དཔོན་རིགས་ཀྱིས་བཤད་རྒྱུར་སྡོང་བོ་འདི་ལ་འབུ་ཕྲ་ཞིག་འགོས་ཡོད་པ་མ་ཟད། སྤྱི་དམངས་ཀྱི་བདེ་ཐང་ལ་འཇིགས་སྐུལ་ཐེབས་སྲིད།དེའི་རྒྱུ་མཚན་ནི་དེ་ནི་དུས་དང་རྣམ་པ་ཀུན་ཏུ་འགྱེལ་ཉེན་ཡོད་པའི་རྐྱེན་གྱིས་རེད།
按照原计划，它将在周二被砍倒，但在法庭紧急裁决后幸免遇难。	སྔར་གྱི་འཆར་གཞི་ལྟར་ན།དེ་གཟའ་མིག་དམར་ལ་གཏུབ་རྒྱུ་རེད། འོན་ཀྱང་ཁྲིམས་ཁང་གིས་མྱུར་དུ་ཐག་གཅོད་བྱས་རྗེས་སྟབས་ལེགས་ནས་སྲོག་ཉེན་ལས་ཐར་སོང་།
